"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610031O16Rik",0.619453293466611,2.71228574679777,4.36798352162756,0.620946881637307,0.534634573487412,NA
"0610037L13Rik",127.892866309891,-0.344510809233247,0.203000313821363,-1.69709495886007,0.0896787091459963,0.139639722470584
"0610037P05Rik",432.795839656195,-0.286813687424109,0.112155506380558,-2.55728583178888,0.0105492495548794,0.0201832733748614
"0610038B21Rik",4.61722778550474,-0.179860853807298,1.14655159824159,-0.156871137839014,0.875346406864364,0.908613449520997
"0610038L08Rik",1.90348602587175,1.41343206267172,1.93835572571947,0.7291912644915,0.465884673978819,0.558613857930546
"0610039K10Rik",5.46977010014358,0.8647952757362,1.0717959325521,0.806865607034912,0.419743915641002,0.513266336366858
"0610040B10Rik",18.9562047701227,1.80067750906502,0.582398996034709,3.09182797588082,0.00198928092678161,0.00426109101387237
"0610040F04Rik",4.22851433979326,3.88851056937866,1.74116007108444,2.23328723990138,0.0255300084388757,0.0455106550341997
"0610040J01Rik",2.01767557182751,2.82987196446624,2.15844035108911,1.31107258212549,0.189833242871383,0.267929526298613
"0910001L09Rik",417.799410736506,-0.468986818216025,0.112945302566593,-4.15233575508383,3.29098940440306e-05,8.69962469265849e-05
"1110001A16Rik",96.0751306100921,-0.291276831465483,0.239060235275361,-1.21842443236106,0.223062725188179,0.305865413223706
"1110001J03Rik",106.269587589663,-1.3147070380597,0.232788755497704,-5.64763978933968,1.62665556144276e-08,5.64454956775392e-08
"1110002B05Rik",515.165007347563,-0.716024688440879,0.10475899977679,-6.83497064659371,8.20218216965955e-12,3.41588184700342e-11
"1110002L01Rik",91.7515393691635,1.33507719179163,0.259190761012962,5.15094437229906,2.591780610799e-07,8.24579881916892e-07
"1110002N22Rik",174.573257288698,-0.582936443513183,0.179141568839387,-3.25405458537558,0.00113770416745257,0.00251613286475669
"1110003E01Rik",1681.66078991894,1.16271749105229,0.0592234037627043,19.6327366746946,8.12199466263692e-86,2.01214608156577e-84
"1110004E09Rik",358.242654579419,-1.49277417081145,0.127271203816472,-11.7290803107674,9.04359282662835e-32,7.80596881668608e-31
"1110004F10Rik",1044.87920634865,-0.610519889271571,0.0719672985364236,-8.48329590921881,2.18903014857026e-17,1.18239752154954e-16
"1110005A03Rik",163.488691881894,0.315257095735466,0.183496936976106,1.71805099818378,0.0857873136159556,0.134501630952237
