"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.961209540997811,1.58399628956825,2.7485635685646,0.576299674376993,0.564412642928908,NA
"0610007C21Rik",249.07503403861,0.0383894630175473,0.167677891696315,0.228947672404394,0.818909587235457,0.910933431992964
"0610007N19Rik",3.02301188170306,-1.06626785878786,1.52763606286143,-0.697985524635113,0.485186246736937,NA
"0610007P08Rik",838.325575013486,0.148769502573625,0.0950850172297989,1.5645945797547,0.117678000616557,0.282476826091843
"0610007P14Rik",598.117043193294,-0.502785003776955,0.111035854259346,-4.52813199061452,5.95074085077583e-06,7.32034652988857e-05
"0610007P22Rik",303.118596073909,0.0121221134322578,0.159193018814401,0.0761472677793154,0.939301935026372,0.972172295292846
"0610008F07Rik",0.5,2.41601937487288,3.98202996004357,0.606730586940749,0.544029719968231,NA
"0610009B22Rik",203.786090445812,0.266549443845454,0.192529957980114,1.38445697823808,0.166218572604475,0.355699792331825
"0610009D07Rik",693.285106593652,0.203776580428691,0.103483885432492,1.96916244086742,0.0489344404081188,0.149830317171362
"0610009L18Rik",7.51732797157796,-0.254825173584924,0.956637497321055,-0.266375899228841,0.789949724530243,0.89526960152613
"0610009O20Rik",815.616969437007,0.431635832793746,0.0964187586148426,4.47667900929914,7.5813103339897e-06,9.04197612500505e-05
"0610010F05Rik",662.218424806308,-0.131168775652276,0.112329193011046,-1.16771759981733,0.242920695173251,0.456839745555583
"0610010K14Rik",412.141071689117,-0.15396437164015,0.150437945911116,-1.02344106540192,0.306099351518619,0.53070499502529
"0610010O12Rik",3414.57554658385,0.894791273263405,0.0558301784063933,16.0270179821052,8.27599793965785e-58,2.59100805495838e-55
"0610011F06Rik",334.549237978788,-0.456828024482798,0.145780683070507,-3.13366637376676,0.00172637018797455,0.0102074286421177
"0610011L14Rik",548.618604727387,0.0064023400033836,0.114763291466803,0.0557873508292987,0.955511211827066,0.978826511181421
"0610012G03Rik",423.536347758977,-0.0935262960711142,0.134809860622236,-0.693764503868108,0.487829906506339,0.700637757545343
"0610030E20Rik",328.149280063837,0.415530800133777,0.14855586836798,2.79713487389463,0.00515580055693234,0.025189040710241
"0610031J06Rik",1009.67263905435,-0.0500151418439905,0.0898337684868231,-0.556752128809188,0.57769679524716,0.766268456577973
"0610031O16Rik",0.240434736057282,1.38355669096458,4.9960573455962,0.276929705817754,0.781834082329789,NA
"0610037L13Rik",151.015977869443,0.221208144096553,0.219895625398348,1.00596882587285,0.314430566232345,0.539399175469541
"0610037P05Rik",428.700565969312,-0.239973293244981,0.132745430124558,-1.80777065560607,0.0706422026539165,0.196808076492769
"0610038B21Rik",5.76441529092432,0.506861034912913,1.11693321905984,0.453797081386435,0.649974884484783,0.815267976602858
"0610038L08Rik",2.22466586261193,1.75372387299296,1.83394960067023,0.956255216802063,0.338943309334063,NA
"0610039K10Rik",2.58757574802598,-1.33084563242139,1.79642480677735,-0.740830135166545,0.458796440842522,NA
"0610040B10Rik",9.14095206069601,0.230081415301176,0.880071934052765,0.261434783224643,0.793757236326065,0.896427999634114
"0610040F04Rik",0.292152113442274,-1.64181236197355,4.9745773344914,-0.330040574621283,0.74136930408521,NA
"0610040J01Rik",1.93251374916966,2.78662483088829,2.18055993184889,1.27794003282704,0.201270571242292,NA
"0910001L09Rik",417.440653494498,-0.389532616085364,0.133435970538708,-2.91924744514349,0.00350877582202248,0.0184313756791894
"1110001A16Rik",107.034162994419,0.107463944684446,0.26015456329134,0.413077300374317,0.679549979880877,0.832437092638974
"1110001J03Rik",166.822170068306,0.331910785158319,0.209432678622948,1.58480895789847,0.113009746506165,0.27458693354612
"1110002B05Rik",718.164448097134,0.374035473741361,0.109196591976139,3.42534017749467,0.000614030077971045,0.00422328086820063
"1110002L01Rik",59.69923860223,0.443315638806044,0.353864576935873,1.25278331797076,0.210284574326103,0.415952254665265
"1110002N22Rik",178.452671653011,-0.426681488835296,0.199914634240791,-2.1343184327435,0.0328167234087061,0.109912764709074
"1110003E01Rik",1006.08204886276,-0.0203857565738276,0.087254545549272,-0.233635467877325,0.81526799028161,0.908630415699907
"1110004E09Rik",444.520152107046,-0.468557344600167,0.130532262157806,-3.58959031931668,0.000331198064716659,0.00247913530451089
"1110004F10Rik",1260.27897709655,0.0638193747574938,0.0797749702652668,0.799992460608664,0.423715165375933,0.64497204521731
"1110005A03Rik",141.24161906638,-0.0269756542212138,0.223616810489985,-0.120633391389965,0.903981419468282,0.956220624770318
"1110006O24Rik",27.2641621288957,0.170936501301173,0.501417037621713,0.340906846947098,0.733173710141502,0.861486811599491
"1110007C09Rik",487.541059197409,0.217718670788971,0.124798665918414,1.74455928023543,0.0810616140900576,0.217280520815452
"1110008F13Rik",752.822337112624,-0.0395967025350384,0.106162865092557,-0.372980726363372,0.709162788737293,0.849381172941392
"1110008J03Rik",286.37909698391,-0.135062723709981,0.163301292695325,-0.827076880291266,0.408193487425835,0.631023914559471
"1110008L16Rik",263.207014303024,0.0602062546642096,0.165820286673737,0.363081356762273,0.716544110859151,0.852811433215087
"1110008P14Rik",162.216073858127,-0.00771845381525035,0.224032289599115,-0.0344524167880523,0.972516385703127,0.986938630320929
"1110012J17Rik",2532.20147092421,0.371284280083885,0.0603940629977666,6.14769501594246,7.86170118638683e-10,1.90061938141163e-08
"1110012L19Rik",121.744521170328,-0.227022434381214,0.247818654248412,-0.916082911795848,0.359623409733491,0.586401557303711
"1110014N23Rik",763.676992649675,0.0498229409868301,0.101736253682347,0.48972651521446,0.62432743640036,0.797964123907094
"1110017D15Rik",0.240434736057282,1.38355669096458,4.9960573455962,0.276929705817754,0.781834082329789,NA
"1110017F19Rik",62.625616424796,0.00729518756545184,0.334528734244976,0.0218073570927081,0.982601625472295,0.992028390502221
"1110018G07Rik",664.335077072294,0.196324366651626,0.104966571468018,1.87035133096105,0.0614350457389127,0.177449239571419
"1110018J18Rik",279.762817432909,-0.149042555770432,0.158196999684397,-0.942132632526356,0.346124739198603,0.572288758862455
"1110019D14Rik",47.6898943460625,0.1503312158171,0.393342898068906,0.382188712584218,0.702321393567457,0.845445622574763
"1110020A21Rik",7.68922735419605,0.635413155123866,0.953412983302925,0.666461613437016,0.505116091738328,0.714203324118003
"1110021J02Rik",166.786945662426,-0.245382679712264,0.204704229898747,-1.19871816930035,0.230637550674948,0.44217300169969
"1110021L09Rik",247.103177976807,-0.130049904735418,0.168354492247425,-0.772476593878395,0.43983220454595,0.660671548222254
"1110028F11Rik",1.18198434593834,0.673228474718639,2.44296647481263,0.275578269967979,0.782872001658597,NA
"1110031I02Rik",113.482495242211,-0.175134382963576,0.250746534252089,-0.69845185890986,0.484894654412752,0.697771135288864
"1110032A03Rik",56.0085936010835,0.503585940286616,0.356357684934456,1.41314741221096,0.157612385105224,0.343955353367258
"1110032A04Rik",7.87121170013439,0.348128330717076,0.929953936248192,0.374350080307811,0.708143877422831,0.848458264156728
"1110034A24Rik",454.985631848805,0.204178747570218,0.126138090911909,1.61869222923954,0.105513499669931,0.261290400705268
"1110034B05Rik",157.280431731705,-0.145804889517945,0.214053993623496,-0.681159398382465,0.495770635769916,0.707206529970436
"1110034G24Rik",33.2985127192876,0.0997737882872313,0.468602170767541,0.212917896056282,0.831391003390334,0.918301580173164
"1110035M17Rik",0.951644277055093,1.56946270846676,2.75637845985246,0.569393039209414,0.569089439610384,NA
"1110036E04Rik",0.480869472114564,2.3675149871128,4.04313052437184,0.585564817371467,0.558167997070325,NA
"1110037F02Rik",1690.21537916285,-0.0686405216429751,0.0709140832202909,-0.967939209335145,0.333074730804119,0.558719085613963
"1110038B12Rik",1113.18613103265,0.208198893369265,0.0837817607980364,2.48501453521784,0.0129546145063418,0.0531729391881084
"1110038D17Rik",248.643928232537,0.0183539167899554,0.169039983158783,0.108577369962911,0.913537710770888,0.95959006475288
