"hgnc symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mKIAA1889",26.5532600614686,-0.683103889051574,0.616171939400918,-1.10862544262521,0.267591797607192,0.72878940290424
"AK149000",3.87291623179509,0.319796752984514,1.49639850027162,0.213710955287957,0.830772467627374,0.976376255858649
"Rp1",1.75664696613192,-1.87324063280269,2.02328526523394,-0.925841088743408,0.354528570375659,NA
"Sox17",94.4594009873601,-1.01375982971385,1.29393973036606,-0.783467580384954,0.433352584300218,0.847787593550173
"Mrpl15",865.343822916854,-0.194883491789525,0.251909613785686,-0.773624669820357,0.439152778961945,0.851133521304233
"Lypla1",912.429566257055,-0.40137453031468,0.302579319546974,-1.32651012275268,0.184670784379409,0.627000533789969
"Tcea1",3401.52178161221,-0.16102311623291,0.284739403653093,-0.565510477886262,0.5717265995115,0.908333728010352
"Atp6v1h",1197.11930569553,0.0257211260512652,0.241952109844114,0.106306682210116,0.915339029998922,0.988413957893173
"Oprk1",3.21277579296108,-1.76242474858053,1.95144052234144,-0.903140387013116,0.366451391611648,0.808137745547545
"Npbwr1",0.916322788680432,-2.83191848748284,3.04145538734947,-0.931106370740083,0.351798543484518,NA
"Rb1cc1",4224.7168009877,0.226757321083517,0.178231007754459,1.27226639146826,0.203278485524101,0.651372843493855
"Fam150a",0.595337254074668,2.60385672289175,3.04748393748891,0.854428366581416,0.392867684194223,NA
"St18",14.8138344886194,-2.57287259585712,1.44694447906375,-1.77814189354515,0.0753805533911879,0.416168253112102
"AB335791",0.277366601492187,0.738878821208507,3.1052012347732,0.237948772187215,0.811920826934961,NA
"Pcmtd1",2418.74091148432,0.644831932564628,0.278760411723439,2.31321201090911,0.0207109855235202,0.196537596687753
"AK043789",8.52332242199145,-0.691770219580927,1.00719643957154,-0.686827506931223,0.492191433714017,0.875476099130745
"AB351889.1",0.115205412146604,-0.734622726507002,3.11653965008542,-0.235717433111068,0.81365194136463,NA
"Sntg1",38.2607139866922,-4.14652780318494,1.17005896261212,-3.54386226308455,0.000394311185585765,0.0112097759481073
"AB352479",0.182351938116929,-1.21551406707241,3.11653965008542,-0.390020408384374,0.696521455898711,NA
"Rrs1",294.450115460826,-0.585098399992161,0.420350692347534,-1.39192919303774,0.163943840633732,0.597622037485572
"Adhfe1",82.1124857516191,-0.46581320303953,0.591149227631085,-0.787979043643827,0.430708963983393,0.846021832060733
"2610203C22Rik",16.0715393538158,-0.371955396310147,0.589677341416164,-0.630777834225175,0.528185798502984,0.890780622713897
"3110035E14Rik",5.22113608337513,-0.636641822342643,1.28618149663295,-0.494985990709152,0.620610009482551,0.92245237816634
"2610203C22Rik.1",4.67275427340465,-0.587267807050272,1.30644446708864,-0.449516088777179,0.653059404642588,0.934161771514774
"Mybl1",114.400296089088,-0.0798309291019792,0.301881833997272,-0.264444296117204,0.791437582570488,0.969512508906606
"AK031819",2910.82321209801,0.486681891355555,0.189114423744356,2.57347843553937,0.0100681920898999,0.122907116044818
"1700034P13Rik",310.4869500687,0.501072446009794,0.269147770115115,1.86170015748406,0.0626453663861701,0.378318838421113
"Sgk3",226.91407293306,-0.956683218163216,0.475262850036502,-2.01295602652246,0.044119255643396,0.309657562392266
"6030422M02Rik",33.3768118629931,0.0147951763856996,0.454635282009778,0.03254295689568,0.974039059507488,0.996689667869672
"Snord87",70.8577749518595,-0.349157998501816,0.276783723967222,-1.26148313021168,0.207134834199273,0.656536002498327
"Snhg6",313.654035992366,-0.302519489368131,0.272412290604522,-1.11052070630439,0.266774710481075,0.728055158019703
"Ppp1r42",11.6971491818622,-0.179487958983253,1.21900999905565,-0.147240760225347,0.88294198917834,0.98474587383003
"Cops5",3747.54490308411,-0.0797552027072219,0.170002938577104,-0.469140141780839,0.638969467904957,0.929665801687415
"Cspp1",1214.74170627004,-0.0991332360763343,0.223323287856481,-0.443900128051323,0.657114791971459,0.934379010226312
"AK076931",22.3509564566183,-0.105920135380748,0.40331544662567,-0.262623552524274,0.792840744820343,0.969512508906606
"Arfgef1",7509.15865377026,0.236334347967812,0.408423321955206,0.578650471859518,0.562825041425811,0.904731090272546
"Cpa6",0.654650006681003,-2.32130312349822,3.05751204361072,-0.759213075987401,0.447725105258476,NA
"Mir467e",0.071333526718077,0.227162290085896,3.11653965008542,0.072889266812206,0.941894235067707,NA
"Prex2",235.55499305837,-1.00361534667563,1.01956508797417,-0.984356328510392,0.324940342643434,0.776232000613426
"A830018L16Rik",3.74028978310205,-3.8230050961545,1.60156426907734,-2.3870444477117,0.0169844376969362,0.174273960257607
"4932411L15",0.538194632129415,-1.07092760808471,3.09028922212918,-0.346546077440236,0.728932362081989,NA
"Sulf1",1573.30137070536,-2.82742221699214,0.599030761277271,-4.71999503157972,2.35850403938649e-06,0.000153626698520071
"Slco5a1",247.405920458998,-0.259200151783396,0.624861863784164,-0.414811923732519,0.678279590086907,0.943701869452094
"Prdm14",4.12684178447149,0.193713785625147,1.49971740331893,0.129166858500443,0.897225619573476,0.985786804386237
"Ncoa2",3610.35212218767,0.326015245379651,0.12616989917001,2.58393838407017,0.00976792430628472,0.120495229522239
"AK171953",66.5080010903417,0.110903316924338,0.465940230616329,0.238020479102308,0.811865210569883,0.972906514537756
"Tram1",4649.92753803059,-0.121697612234694,0.307255612656076,-0.396079378933642,0.692046470209075,0.946931760450614
"Lactb2",651.936464124542,0.13106583705034,0.257706598665103,0.508585491133133,0.611042800933826,0.919884584922794
"Xkr9",7.46912005244865,-1.07897827897243,1.21628171386089,-0.887112144066848,0.375018526470108,0.814070578680949
